收盘价,成交量
3166.183,106435847
3161.251,143982040
3129.263,137962701
3145.347,105425960
3118.709,114643389
3148.222,103521570
3158.681,116814703
3157.957,122789383
3147.416,126779213
3109.105,101143351
3128.468,102431515
3123.798,131895114
3059.715,93077716
3019.176,90190542
3056.808,89266365
3053.125,92867190
3074.576,96499411
3067.75,88481189
3046.089,91379124
3050.479,87085699
2992.841,59627991
2976.939,63749768
3013.412,71418912
3051.282,79872195
3048.927,84612953
3069.141,92381803
3053.232,81011950
3031.065,92259665
3023.373,126383889
3097.005,117156519
3073.108,105327647
3087.842,111038878
3051.943,101296291
3060.618,119670781
3022.177,92918962
2982.575,80392858
3003.398,68505143
3018.133,56092124
2985.499,56646305
2982.5,55588005
2948.842,62282207
2935.174,63299582
2939.402,97274989
2995.308,99918364
3003.835,101022537
2934.713,82485789
2941.36,88147114
2989.292,80475875
2994.143,73365767
2986.607,76552214
3019.394,93507092
3094.411,78361862
3128.588,137758538
3158.863,114337079
3151.85,158243112
3246.874,129943532
3237.098,135067238
3224.152,120541135
3215.55,135954504
3172.658,158344278
3273.966,140655241
3212.75,136327216
3195.997,98377147
3192.776,128652827
3254.215,123651384
3282.179,126115066
3243.76,109447927
3277.139,116520402
3262.6,129456039
3211.761,102612637
3188.785,91211608
3141.353,84545783
3153.41,102406204
3073.777,80058134
3050.52,85080787
3122.973,74568126
